text,label
I'm so happy right now!,1
That was amazing!,5
Spending time with family is the best.,2
This sadness is overwhelming.,0
I can't stop crying.,0
What a shock!,5
This is infuriating!,3
Everything is awesome!,1
Spending time with family is the best.,2
I adore my partner.,2
What a beautiful day!,1
What a shock!,5
I'm feeling down today.,0
Love conquers all.,2
I'm feeling down today.,0
Life is great!,1
I love my dog.,2
What a shock!,5
I'm so happy right now!,1
Wow! That was unexpected!,5
What a beautiful day!,1
I'm so mad right now.,3
I'm so mad right now.,3
I adore my partner.,2
I can't handle this anger.,3
I feel heartbroken.,0
I feel heartbroken.,0
I fear the worst.,4
Love conquers all.,2
This gives me anxiety.,4
Why would they do that?!,3
I can't handle this anger.,3
Everything is awesome!,1
I can't handle this anger.,3
Love conquers all.,2
I did not see that coming!,5
I adore my partner.,2
I adore my partner.,2
I feel heartbroken.,0
I love my dog.,2
This is infuriating!,3
I love my dog.,2
I feel heartbroken.,0
I can't handle this anger.,3
I'm so happy right now!,1
I'm so mad right now.,3
That really terrified me.,4
What a shock!,5
I'm feeling down today.,0
Life feels so empty.,0
Life is great!,1
This gives me anxiety.,4
I adore my partner.,2
What a beautiful day!,1
I love my dog.,2
I'm so happy right now!,1
That really terrified me.,4
Life is great!,1
I'm feeling joyful.,1
I care deeply for you.,2
I can't handle this anger.,3
You really surprised me!,5
I love my dog.,2
Why would they do that?!,3
Spending time with family is the best.,2
I love my dog.,2
That really terrified me.,4
Why would they do that?!,3
I care deeply for you.,2
I'm worried about tomorrow.,4
Why would they do that?!,3
You really surprised me!,5
I adore my partner.,2
What a beautiful day!,1
Spending time with family is the best.,2
I adore my partner.,2
You really surprised me!,5
I'm scared of heights.,4
I'm so mad right now.,3
I feel heartbroken.,0
Life feels so empty.,0
Love conquers all.,2
I care deeply for you.,2
Love conquers all.,2
Love conquers all.,2
Why would they do that?!,3
This is infuriating!,3
That was amazing!,5
I'm so happy right now!,1
Love conquers all.,2
I feel heartbroken.,0
I'm so mad right now.,3
I fear the worst.,4
That was amazing!,5
I'm so happy right now!,1
Life feels so empty.,0
This gives me anxiety.,4
I'm so happy right now!,1
What a shock!,5
I can't handle this anger.,3
Life feels so empty.,0
What a shock!,5
I'm boiling with rage.,3
I fear the worst.,4
Love conquers all.,2
Love conquers all.,2
I fear the worst.,4
I can't stop crying.,0
I'm so mad right now.,3
What a beautiful day!,1
I'm so happy right now!,1
I'm feeling joyful.,1
I'm feeling joyful.,1
Life feels so empty.,0
I did not see that coming!,5
I can't stop crying.,0
I'm boiling with rage.,3
This sadness is overwhelming.,0
Life is great!,1
This sadness is overwhelming.,0
